dream_id,dream_keyword,dream_interpretation
268,นกกระจาบ,ฝันถึงนกกระจาบ หรือนกเล็ก ๆ ทายว่าจะเป็นลางดี จะได้รับโชคลาภเล็ก ๆ น้อย ๆ ติดต่อกันไปเรื่อย ๆ
269,นกยูง,ฝันเห็นนกยูง สตรีผู้ฝันจะได้พบเนื้อคู่สูงศักดิ์ดี ถ้าเป็นชายฝัน จะได้บริวารและคนใช้ที่จงรักภักดี มีความสุข
270,นกเถ้าแมวหรือแมวทุย,ฝันถึงนกเถ้าแมวหรือแมวทุย ทายว่า จะได้รับข่าวร้าย หรือสิ่งที่ไม่ดีกับครอบครัวจะแตก ถ้าฝันในระหว่างเดินทางจะประสบอุบัติเหตุ
271,นม,ฝันเห็นเด็กทารกกำลังดูดนม หรือฝันว่าเด็กอื่นมาดูดนมเราทายว่า จะได้อริใจ มีการเจ็บไข้ได้ป่วยหรือเสียเงินทอง
272,นาค,หญิงชายใดฝันว่านาคหรือมังกรหรือมีงูใหญ่เข้ามารักษา ทายว่า ที่เจ็บจะหายคลายทุกข์ มีลาภมาสู่ผู้ใหญ่
273,เนื้อหนัง,หญิงชายใดฝันว่าตนเองถูกเชือดเนื้อหนัง ทำนายว่า จะพ้นเคราะห์ ที่เจ็บจะหายคลายทุกข์ มีลาภมาสู่ผู้ใหญ่
274,นุ่งผ้า,ฝันว่าได้นุ่งห่มอาภรณ์ หรือเครื่องตบแต่งเป็นสีขาวล้วน ทายว่า จะมีความสุขอุดมเจริญ ปราศจากโรคภัย
275,นั่งเรือ,ฝันว่าได้นั่งเรือแล่นไปตามลำคลองหรือแม่น้ำ ทายว่า การใด ๆ ที่คิดไว้จะเป็นผลสำเร็จ หรือชะตากำลังจะมีลาภดีขึ้น
276,นอน,ฝันว่านอนอยู่ในที่อันสงบหรือสวย ทายว่า จะได้พบเนื้อคู่ หรือจะมีโชคลาภทางหน้าที่การงาน
277,น้ำฝน,หญิงชายใดฝันว่าได้ลงเล่นอาบน้ำฝน เป็นที่เย็นชุ่มชื่นใจ ทายว่า ที่ป่วยจะหาย ที่ทุกข์จะคลาย โชคลาภจะตามมาภายหลัง
278,น้ำท่วม,หญิงชายใดฝันว่าน้ำท่วมเรือน หรือน้ำท่วมถนนหนทาง ทายว่า จะต้องเดินทางไกลหรือโยกย้ายที่อยู่ แต่จะไปในทางดี
279,นรก,หญิงชายใดฝันว่าได้เดินทางลงไปในเมืองนรก ได้เห็นภูติผีปีศาจของคนที่ตกนรกทองแดง ทายว่า จะหมดเคราะห์ ที่ป่วยจะหาย และจะฟื้นฟูมีโชคลาภเกิดขึ้น
280,นองเลือด,ฝันว่าได้เห็นการฆ่ากันนองเลือด หรือเลือดสัตว์ที่ถูกฆ่านองพื้นถนน ทายว่าจะได้ลาภลอย หรือมีโชคทางการเสี่ยง
281,นางเวท,หญิงชายใดฝันว่าเห็นนางเวท หรือเทวดาเข้าสิง หรือนางชี ทายว่า จะหมดเคราะห์ ที่เจ็บป่วยจะหาย
282,นัยน์ตา,หญิงชายใดฝันว่านัยน์ตาของตนเองบอดมืดมิด หรือเห็นคนตายบอดในฝัน ทายว่า การที่คิดไว้จะไม่สมหวังหรือล้มเหลว และจะต้องเสียเงินเสียทองเป็นการสะเดาะเคราะห์
283,นาฬิกา,ฝันว่าได้ลวงใส่นาฬิกา หรือจับต้องนาฬิกาข้อมือ ทายว่า จะได้พบเนื้อคู่ หรือมีโชคลาภทางการเสี่ยง
284,นางพยาบาล,ฝันเห็นนางพยาบาลอยู่ใกล้ชิด ได้พูดคุยด้วย ทายว่า จะได้อยู่ในที่สงบเงียบ หรือมีเหตุในทางเดินทาง
285,น้ำหอม,หญิงชายใดฝันว่าได้ใส่น้ำหอมหรือน้ำอบไทยพรมร่างกาย ทายว่า จะหมดเคราะห์ หรือหายจากเจ็บไข้ได้ป่วย
286,น้อยหน่า,ฝันว่าได้กินผลไม้น้อยหน่า หรือน้อยใหม่ (ฝันมักจะได้แก่สตรี) ทายว่า ถ้ากำลังตั้งครรภ์จะได้บุตรอ้วนท้วนสมบูรณ์ สตรีสาวโสดจะได้พบเนื้อคู่รูปร่างอ้วนท้วนเช่นเดียวกัน
287,น้ำเต้า,ฝันว่าได้กินผักน้ำเต้า หรือจับต้องลูกน้ำเต้าลูกฟัก หรือลูกแตง ทายว่า หญิงมีครรภ์จะได้บุตรชายหน้ารัก หรือมิฉะนั้นจะได้โชคลาภจากเพศตรงข้าม
288,น้ำเหลือง,หญิงชายใดฝันว่า เห็นศพคนตาย หรือตกไปในบ่อน้ำเหลือง หรือเห็นศพคนตายมีน้ำเหลืองอุจาด ทายว่า จะได้รับโชคจากการเสี่ยง หรือการค้าดีขึ้น
289,นิ้ว,หญิงชายใดฝันว่าได้ตัดนิ้วมือหรือนิ้วเท้าตนเองออก ทายว่า จะได้รับเคราะห์ หรือสูญเสียญาติผู้น้อยภายในบ้าน
290,นุ่น,หญิงชายใดฝันว่าได้เห็นนุ่นหรือสำลี หรือฝันว่านุ่นกระจายเต็มบ้าน ทายว่า จะได้รับข่าวดีทางการค้าที่รอคอย หรือมีความสุขภายในบ้าน
292,น้ำผึ้ง,ฝันว่าได้ดื่มน้ำผึ้ง ทายว่า จะได้รับผลสำเร็จในกิจการที่กำลังดำเนินอยู่นั้นว่าได้ดีสมและได้กินทั้งรังผึ้งเป็นรางวัลที่อร่อยจะประสพโชคลาภในงานนั้นอย่างไม่คาดฝัน
293,น้ำตา,ฝันเห็นน้ำตา หรือฝันว่าน้ำตาตนเองไหลเพราะร้องไห้ ทายว่า ของที่หายจะได้รับคืนมาในเร็ววัน หรือมิฉะนั้นก็จะได้รับโชคลาภจากผู้ใหญ่
294,นาก,ฝันเห็นนากสัตว์สี่เท้าที่เที่ยวหาปลากินในน้ำ หรือแนวน้ำ (ตำราต่างประเทศ) ทายว่า จะได้รับข่าวจากญาติที่อยู่ทางไกล หรือญาติมิตที่หายไปจะกลับคืนมา
295,บ่อน้ำ,หญิงชายใดฝันว่าตกลงไปในบ่อน้ำลึก ทายว่าจะได้รับเคราะห์ร้าย หรือกิจการงานที่ทำไว้จะล้มเหลว
296,บริโภค,ฝันว่าได้บริโภคอาหาร หรือของกินเข้าไปอิ่มเต็มที่ ทายว่า จะได้รับทุกข์และเจ็บไข้ได้ป่วย หรือเสียเงินทอง
297,บ้าน,ฝันเห็นบ้านหรือเรือนปรักหักพัง ทำนายว่า จะเสียของรักหรือมีเหตุทะเลาะวิวาทในครอบครัว ถ้าฝันว่าเดินเข้าไปในบ้านร้าง ทายว่า จะต้องโยกย้ายที่อยู่หรือการงาน ถ้าฝันเห็นบ้านตนเองถูกไฟไหม้ จะเดือดเนื้อร้อนใจ หรือต้องคดีทางกฎหมาย
298,บวช,ฝันว่าได้บวช หรือได้ห่มผ้าเหลือง ทายว่าจะหมดเคราะห์ หรือญาติผู้ใหญ่ที่ป่วยจะหาย
299,บ้า,ฝันว่าตนเองเป็นบ้า จะเป็นฝันดี ภัยไรจะหักลง ได้สมความปรารถนา ถ้าเป็นผู้ไม่ได้มีหน้าที่ปกครองคน ก็จะยิ่งมีอำนาจมากขึ้น
300,บันได,หญิงชายใดฝันว่าได้ก้าวขึ้นบันไดสูง ทายว่าการที่คิดไว้จะสมหวัง ถ้าฝันว่าตกจากบันได จะได้รับความเดือดร้อนภายในครอบครัว
301,แบกหาม,หญิงชายใดฝันว่าได้แบกหามของหนัก และเดินทางไปตามถนนที่เปลี่ยวและอันตราย ทายว่าจะหมดเคราะห์หมดทุกข์ และจะได้ลาภสิ่งของตามมามากยิ่งหลัง
302,บัว,หญิงชายใดฝันเห็นดอกบัว และได้ถือดอกบัวในมือ ทายว่า จะได้ลาภหรือได้ทรัพย์เข้ามาไว้ใช้ในบ้าน
303,บัวขาว,ฝันเห็นดอกบัวขาวกลางสระ หรือได้เด็ดดอกบัวขาว หญิงมีครรภ์จะได้บุตรชายน่ารัก หรือมิฉะนั้นจะได้ลาภยศ หรือหน้าที่การงานดีขึ้น
304,บานไม่รู้โรย,หญิงชายใดฝันว่าได้เด็ดดอกบานไม่รู้โรย หรือมีผู้นำมาให้ในฝัน ทายว่า อายุจะยืน หรือญาติผู้ใหญ่ในบ้านที่ป่วยเจ็บจะหาย
305,บิน,หญิงชายใดฝันว่า ได้บินไปมานอกจากแสงแดด ทายว่า จะได้รับเคราะห์จากคนใกล้ชิด หรือจะมีโรคภัยไข้เจ็บ
306,เบาะ,หญิงชายใดฝันว่า เก็บเบาะหรือที่นอนเด็กเล็กใส่รถ หรือฝันเห็นเบาะมีการกลอยมากลางน้ำ ทายว่าจะได้รับเคราะห์จากผู้เฒ่า หรือคนในบ้านจะป่วยเจ็บ
307,บุตร,หญิงชายใดฝันว่า มีคนเอาเด็กมาทิ้งไว้ในบ้าน หรือคลอดบุตร ทายว่า จะต้องเสียของรักหรือเงินทอง
308,เบ็ด,หญิงชายใดฝันเห็นเบ็ดตกปลา หรือฝันว่าจับปลาเบ็ดแต่ไม่ได้ตก ทายว่า ลาภจะมาหา หรืออุบัติภัยอุบัติเหตุจะมา
309,โบสถ์,หญิงชายใดฝันว่า เดินเข้าในโบสถ์ หรือเห็นพระในโบสถ์ ทายว่า จะหมดเคราะห์ หมดทุกข์ ที่ป่วยจะหาย มีโชคดีตามมาข้างหลัง
310,บัตร,ฝันเห็นบัตรหรือกระดาษบัตรต่าง ๆ จะเป็นฝันดี จะได้รับข่าวดี มีลาภลอยเล็ก ๆ น้อย ๆ หรือได้รับโชคทางการเสี่ยงสลากบัตรต่าง ๆ
311,บวงสรวง,ฝันว่าได้บวงสรวงเทพยดา หรือบูชานาคาถวายเทพเจ้าต่าง ๆ ทายว่า ที่ป่วยหาย ที่เป็นความจักชนะ ถ้าเป็นการค้าจะเจริญรุ่งเรืองขึ้นกว่าเดิม
312,บ้องไฟ,ฝันเห็นบั้งไฟ หรือดอกไฟที่จุดในงานต่าง ๆ ทายว่า จะเป็นฝันดีแตกต่างจากฝันว่าไฟไหม้ และในฝันว่าบั้งไฟ หรือดอกไฟที่จุดนั้นเป็นสีสันวิจิตรและพุ่งขึ้นสูง ทายว่า จะได้รับโชคลาภทางชื่อเสียง
313,ปลิง,หญิงชายใดฝันปลิงกัดร่างกาย หรือฝันให้ตื่นตกใจ ทายว่า จะได้พบแต่คนดี มีความสุขในครอบครัว
314,ปลา,หญิงชายใดฝันว่าได้จับปลา ทำนายว่า จะได้ลาภ หรือได้ข่าวดี หน้าที่การงานจะดีขึ้น
315,ปลวก,ฝันว่าปลวกขึ้นภายในบ้าน หรือฝันเห็นจอมปลวกสูงใหญ่ ทายว่าจะได้รับเลื่อนตำแหน่งหน้าที่การงานหรือการเงินจะดีขึ้น
316,ปราสาท,หญิงชายใดฝันเห็นปราสาท หรือได้เข้าไปอยู่ในปราสาทของพระเจ้าแผ่นดิน ทายว่าจะมีอำนาจสูง ผู้ใหญ่จะอุปถัมภ์
317,บาน,หญิงชายใดฝันว่าได้เห็นดอกบาน ทายว่า อายุจะยืน ที่ป่วยเจ็บจะหาย
318,บุบะ,หญิงชายใดฝันว่า เก็บบุบะหรือที่บ่อนเด็กแล้ก หรือฝันฟันก่อนบุบะมีการกอยมากจากว่า หากว่าจะได้รับเคราะห์จากผู้อ่อย หรือฝันฟันใน่านจะป่วยเจียบ
319,บูดร,หญิงชายใดฝันว่า มีคนเอาเดียงข้างให้นิม หรือดลอุตดร หากว่า จะต้องเสียขอจีกหรือเจียบทอง
320,เบิด,หญิงชายใดฝันเห็นบิจดกบปลา หรือให้น้ำสึ่ม เมื่อแล้วไม่ได้ตก หากว่า ล่าจะมาทางไกล หรือปากมี่มาก จะมาท
321,ใบไผ่,ฝันว่าเอาใบไผ่มาร้อยทำพาน ทายว่าจะได้สิ่งมงคล มีความสุขความเจริญ
322,แก้ว,ฝันเห็นแก้วใสแจ่มใสในบ้าน ทายว่าจะได้รับความเสื่อมเสียทางชื่อเสียง หรือจะมีเรื่องเศร้าใจในครอบครัว
323,ในสนาม,หนึ่งชายได้ผันว่าใส่ในสนามทาเป็นแคน ๆ หรือ ในสนามช้างอยู่ภายในบ้านแตนแอง คายว่า จะใส้ยามารื่น พรื้อ กำนมีเรื่องพ่อมิตกใจเกิดขึ้นในบ้าน
324,บิดามารดา,ฝันเห็นพระสงฆ์หรือบิดามารดาที่เสียชีวิตแล้ว ทายว่า จะได้โชคดี หรือได้รับหน้าที่การงานดีขึ้น
325,บาดเจ็บ,ฝันว่า ตนได้รับบาดเจ็บ หรือถูกสัตว์กัดจากแมลงต่าง ๆ แต่ไม่มีอันตรายร้ายแรง ทายว่าจะหมดเคราะห์ และจะมีความสุขมากมายตามมา
326,บุคคล,ฝันเห็นบุคคลใดบุคคลหนึ่ง จะเป็นผู้ที่เราเคยรู้จัก ฝันนี้จะดีหรือร้ายต้องขึ้นอยู่กับลักษณะ และบุคคลนั้น กล่าวคือถ้าเป็นผู้ดีก็เป็นลาง
327,กบ,ได้ยินเสียงกบ หรือเห็นฝูงกบจำนวนมาก หรือได้จับกบ ทำนายว่า จะได้โชคลาภทางการค้าขาย นายหน้าหรือการเสี่ยงโชค ได้เลื่อนตำแหน่งการงาน หรือได้รับชื่อเสียงดีเด่นในผลงาน หญิงใดฝันว่า ได้เห็นกบหรือจับกบได้ จะได้พบเจ้าบ่าวหล่อ หรือมีความรัก ถ้าคนมีบุตรจะได้บุตรที่น่ารัก
328,บางสะรวง,ฝันว่าได้บังสะรวงเพชรยดา หรือขมานุม คราสมความพิเศษด้วย ๆ หายไร ที่ปวยจะหาย ที่เป็นความกังขา กำเป็นการกำจะได้อยู่เรื่องขึ้นกว่าเดิม
329,บั้งไฟ,ฝันเห็นบั้งไฟ หรือดอกไฟที่จุดในงานต่าง ๆ ทายว่า จะเป็นฝันดีแตกต่างจากฝันว่าไฟไหม้ และในฝันว่าบั้งไฟเป็นสีสันวิจิตรและพุ่งขึ้นสูง ทายว่า จะได้รับโชคลาภทางชื่อเสียง
330,ร่มสีเหลือง,ฝันเห็นร่มสีเหลืองสำหรับใช้กันแดดในการเดิน หรือร่มที่พระถือ ทายว่าจะได้ลาภใหญ่ทางต่างๆ หรือได้เลื่อนตำแหน่ง ถ้าเป็นนักการค้าจะขยายกิจการดีขึ้นกว่าเดิม
331,เกี๊ยว,ฝันเห็นเปี๊ยว หรือเงินทองที่คนในสมัยโบราณใช้เป็นสื่อในการซื้อขาย หรือเปี๊ยวที่หายไป จะได้รับโชคลาภหรือเงินทอง ถ้าเป็นผู้ใหญ่จะได้รับของขวัญที่มีราคา
333,ปลาตาย,ฝันว่าปลาตายภายในบ้าน หรือฝันเห็นฝูงปลาตายจำนวนมาก ทำนายว่าจะได้รับเลื่อนตำแหน่งในงานหรือการงาน การเงินจะดีขึ้น
334,กิ้น,หญิงชายใดฝันเห็นปิ้น หรือได้ยินปั้นเป็นที่พอชาสิเธอ พบว่า หญิงจะได้พบเนื่อง ชายจะได้วางสาคาดี ชิน
335,ปูนขาว,หญิงชายใดฝันว่าได้ทาปูนขาวขึ้นที่สูง ทำนายว่า จะหมดเศร้าโศก ที่เจ็บจะหาย จะอยู่เย็นเป็นสุข งานที่ติดขัดหรือทำไว้จะสำเร็จลุล่วง
336,ปล่องไฟ,หญิงชายใด ฝันเห็นปล่องไฟมีควันพุ่งขึ้น ทำนายว่า จะได้รับข่าวจากญาติมิตรที่อยู่ห่างไกล หรือมิตรสหาย จะมีข่าวดีมาบอก
337,ปลูก,หญิงชายใด ฝันว่าได้ปลูกป่าน หรือปลูกต้นไผ่ ทำนายว่า การที่คิดไว้หรือทำไว้จะได้รับผลสำเร็จเป็นที่น่าพอใจ หรือ จะมีฐานะดีขึ้นทางการเงิน
338,เปา,หญิงชายใดฝันว่าได้นำเปาอยู่ หรือกินเปาหรือใส่เปาลงในปาก ทำนายว่าจะต้องได้รับผลประโยชน์จากคนอื่น คนในบ้านจะเจริญรุ่งเรืองทุกอย่าง
339,เปื่อย,หญิงชายใดฝันว่า เสื้อผ้าที่สวมใส่เปื่อยเน่าหรือขาดรุ่งริ่ง หรือสิ่งของเปื่อยเน่า ทำนายว่าจะได้กู้คืนด้วยเวรกรรมที่ค้างคาอยู่ คนในบ้านจะเจ็บป่วย
340,ปล่อยนก,หญิงชายใดฝันว่าได้ปล่อยนก ปล่อยมด หรือปล่อยสัตว์เลี้ยงในบ้านออกไป ทำนายว่าจะหมดทุกข์โศก จะได้รับโชคลาภ
342,ไข่ไก่,หญิงชายใดฝันว่า กินไข่ไก่ หรือเห็นไข่ไก่ดิบ ทำนายว่าจะได้ซื้อขายรับกำไรหรือได้รับเงินทอง หรือข้าวของมีค่าจากคนในครอบครัว
344,พระพุทธรูป,ฝันเห็นพระพุทธรูป หรือพระพุทธเจ้า เป็นเคราะห์ดี ทำนายว่า กำลังเคราะห์ที่จะหายากจะผ่านไป จะได้รับสิ่งดีงามโดยไม่คาดฝัน
347,ประโคม,ฝันเห็นการประโคมด้วยดนตรีเพื่อเฉลิมฉลองในงานมงคล ทำนายว่า จะต้องเสียใจในครอบครัว
349,ประตู,ฝันเห็นประตู หรือเดินผ่านประตูเปิดแล้ว หมายว่า จะได้รับโชคลาภในหน้าที่การงานและการเงิน แต่การเสียประตูชำรุด หมายว่า จะต้องเสียเงินเพื่อซื้อของมีค่า แต่จะประสบโชคลาภในภายหลัง
350,เครื่องประดับ,ฝันเห็นเครื่องประดับ หรือของมีค่า หรือได้สวมใส่เครื่องประดับ หมายว่า จะได้เลื่อนตำแหน่งในการงาน โดยไม่มีอุปสรรค
351,เทียน,ฝันเห็นจุดเทียน หรือเทียนไหว้พระ หมายว่า จะได้เลื่อนตำแหน่งในราชการหรือในที่ทำงาน และจะได้รับโชคลาภจากเพศตรงข้าม
352,ป่องประกาศ,ฝันเห็นป่องหรือการประกาศหรือกองทัพแห่แคว้นต่างๆ หมายว่า งานที่กำลังดำเนินอยู่จะมีอุปสรรค์ หรือถึงแม้จะแก้ไขแล้วก็ยังประสบกับความขัดข้องอยู่ หรือเสียตำแหน่งหน้าที่
355,กิ้ง,หญิงชายใด ฝันว่า ถูกกิ้งรุมกัด จะรู้สึกเดือดร้อนใจภายใน หรือตกใจผวาใจ
356,ไล่ออก,ฝันว่าถูกไล่ออกจากงาน หรือถูกปลดออกจากหน้าที่ตำแหน่ง ในตำราต่างประเทศจะถือว่าเป็นผลร้าย และหมายถึงความอัปยศ หรือถูกดูหมิ่น แต่ในตำราไทยถือว่าหมายถึงความดี และจะได้โอกาสมีหน้าที่ดีขึ้นกว่าเดิม
358,กระต่าย,หญิงชายใดฝันเห็นกระต่าย ทำนายถึงอนาคตที่ดี หรือได้รับเงินทองบางส่วน
359,เกยาก,ฝันว่าตกลงในน้ำงานเผาศพ หรือบ่นต้องพูด หรือได้ดินโคลนกลองของ หายป่วย จะประสบโชคลาภทางการงาน และจะการค้าดีขึ้น
360,ฝูงกบ,ฝันเห็นฝูงกบเต้นรำบนดิน หรือเสียงกบร้องดังใสต่างๆ มากมายในฝัน ทำนายว่า จะมีความเจริญ และจะมีโชคลาภทางการเสี่ยง
361,ผง,หญิงชายใดฝันว่า ได้ติดผงทาหน้า หายป่วย จะแก้เคราะห์ หมดทุกข์ ฝันว่า ผงร่วงจากฟ้าจะเป็นลางไม่ดี จะได้รับความเดือดร้อนจากผู้ใหญ่ หรือผู้สูงอายุภายในไม่นาน ฝันว่า ได้รับผงจากเทพดา หายป่วย จะใช้ดี
362,ผลไม้,ฝันเห็นผลไม้ หรือได้รับรู้โลก หายป่วย จะได้โชคลาภจากการค้าหรือขายหน้า หรือสามารถ
363,ผิวหนัง,ชายใดฝันว่าได้ผิวหน้าสวยงาม หายาก จะได้รับความรักใคร่จากเพศตรงข้าม หรือมีคู่ครองใหม่ หญิงฝันได้ผิวสวยจะได้รับความรักจากคนมากมาย
364,ผ้าโพกหัว,หญิงชายใดฝันว่า ได้ใส่ผ้าโพกหัว หรือดูคนอื่นโพกหัว หายาก จะหมดเคราะห์ ที่เจ็บจะหาย หรือจะได้รับข่าวดีตามมาภายหลัง
365,นั่งไฟ,หญิงชายใดฝันว่า ได้นั่งไฟ หรือนั่งใกล้ไฟ โชคร้าย หายาก จะได้รับเคราะห์ หรือได้รับข่าวร้ายจากญาติมิตร
366,ผนัง,ฝันว่า เดินไปชนเข้ากับผนัง หรือก้านแพง หรือ หรือเกาะจับผนัง หายาก สิ่งที่คิดไว้หรือทำไว้จะมีผิดพลาด ซ่นแก่คลาดพัดแถบแลงจะไม่เล่าเรื่อง
367,แผ่นดินไหว,ฝันว่าแผ่นดินไหว แต่ไม่ทำความเสียหาย หายาก จะมีโชค ฐานะทางการเงินจะดีขึ้น แต่ถ้าฝันว่า แผ่นดินไหวแรง จนดินแตกแยก บ้านเรือนพังพลาย แฝงร้าย จะมีเคราะหกรรม
368,ผู้ดูงาม,ฝันเห็นผู้ดูงาม เป็นลางไม่ดี จะเสียของหรือเงินทอง ถ้าเป็นชายฝัน หายาก จะหมดเศร้า และจะได้รับโชคเล็ก ๆ น้อย ๆ จากเพศตรงข้าม
369,ผ่าท้อง,ฝันว่า ผ่าท้องตนเอง เห็นของดีออกมา หายาก จะได้รับโชคลาภใหญ่ หรือโชคทางการค้า ควรทำบุญให้พอเหมาะ ภายหลังจะเป็นสุข
371,หอม,ถ้าฝันรับประทานของหอม หายาก จะเป็นสุข งานที่คิดไว้หรือกำลังดำเนินอยู่จะสำเร็จและให้ผลดี
372,ฝน,หญิงชายใดฝันว่า ได้เดินเล่นในสายฝน หรือถูกฝนผง โชคดี หายาก ที่ป่วยจะหาย ที่ทุกข์จะคลาย และจะมีโชคลาภภายหลัง
373,ฟ้าคร่ำ,ฝันว่า เห็นท้องฟ้าคร่ำ มืดมัว แต่ไม่มีฝนตกลงมา หายาก จะได้รับข่าวดี หรืองาน จากญาติมิตรทางไกล
374,ฝั่ง,ฝันว่า ว่ายข้ามฝั่งน้ำ ฝั่งคลอง หรือขึ้นฝั่งแก่ หายว่า การที่คิดไว้จะสมหวัง หรือจะได้รับข่าวดีในพลาง หรือ ดำเนินหน้าที่ดี
375,ฝี,ฝันว่าร่างกายเป็นฝีเป็นหนอง ได้รับความเจ็บปวดมาก แต่ถ้าฝีแตก หายาก จะหมดเคราะห์ และจะฟื้นฟูขึ้น
376,ยกศพ,ฝันว่า ได้ยกศพ หายาก จะได้รับความช่วยเหลือจากคนแปลกหน้า หรือมีโอกาสดีระยะใกล้
377,แยก,หญิงชายฝันว่า ได้บินไปถนนแยก หรือเดินถึงแยก หายาก จะได้รับความช่วยเหลือ ที่เศร้าใจจะได้ดี หรือได้ลาภจากคนแปลกหน้า
378,ยาสูบ,หญิงชายฝันว่า ได้สูบยาสูบ หรือเห็นคนสูบ หายาก จะได้รับเคราะห์จากศัตรู หรือจะมีการสูญเสียเงินทอง
379,ย่างปลา,หญิงชายฝันว่า ย่างปลา หรือกินปลาย่าง หายาก จะได้รับเคราะห์จากคนใกล้ชิด หรือในครอบครัว
380,พระ,หญิงชายใดฝันเห็นองค์พระหรือพระพุทธรูป รูปต่าง ๆ ความฝันนั้นเป็นมงคลแก่ตัวเอง หายาก จะได้รับโชคลาภตามมาภายหลัง
381,พระจันทร์,ฝันว่า ได้เห็นพระจันทร์ส่องแสงสว่างใสเต็มดวง หายาก จะได้โชคลาภ หรือได้บุตรเป็นหญิงนำโชค
382,กระอาทิตย์,ฝันว่า ได้เห็นดวงอาทิตย์ปลั่งรัศมีส่องแสงสู่พื้นดิน แต่ไม่มังเกิดความร้อน ทายว่า จะเป็นสุขไม่มีภัยใดแก่วิด หรือจะได้บุตรเป็นชายมีสง่าน่าคิด
383,ไผ่,หญิงชายใดฝันว่า ได้เห็นกอไผ่ใหญ่ หรือถือไผ่ในมือ หายาก จะได้พบรักแท้ หรือจะได้โชคลาภจากเพศตรงข้าม
384,ไผ่สี,ฝันว่า ปลูกไผ่ หรือได้เห็นไผ่สีเขียวใหญ่ ในป่าหรือสวน หายาก จะได้รับโชคลาภใหญ่
385,พระพุทธบาท,หญิงชายใดฝันว่า ได้ไปเท่าพระพุทธบาทหรือได้มองเห็นการพระพุทธบาทโดยไม่เคยไปเคยไปพอเอา หาย่า จะได้รับโชคลาภ และทางนานในหน้าที่จะได้รับเลื่อน (มีสมณีให้เดินทางไปท่าการนมสการพระพุทธบาทจะเป็นมงคลยิ่ง)
387,พระบรมราช,หญิงชายใดฝันว่า ได้ไปกราบบังคมพระบรมราชา หายาก จะได้รับโชคลาภทางการงานและการเงิน
390,ฟ้าร้อง,หญิงชายใดฝันว่า ฟ้าร้องเสียงดัง หรือฟ้าแลบ หายาก จะหมดเคราะห์ หรือมีการเปลี่ยนแปลงในชีวิตให้ดีขึ้น
391,หัด,ฝันว่าตนเป็นหัดหรือมีผื่นผ้าแดงปรากฏ หรือมีแผลที่เปื่อยติดร่างกายเรา หมายว่า จะได้รับเคราะห์หลายๆ อย่าง จากการมีความอาฆาตกับคู่อยู่ในบ้านหรือร่วมงาน
392,โฮ่งเฮ้ง,ฝันเห็นเครื่องไฟฟ้าหรือไฟฟ้า หรือเห็นบุคคลถูกไฟฟ้าช็อต หมายว่า จะได้รับข่าวดีจากทางไกล หรือจะมีคนแปลกหน้าเข้ามาหาเรา
393,เหยือน,ฝันเห็นเหยือนเหยือนจากปูปลา หรือเนื้อปลาเนื้อเป็นจุกๆ ไปแล้ว หมายว่า จะได้รับข่าวดีจากต่างแดน หรือข่าวดีในด้านการงานและการค้า
394,หุ่น,ฝันเห็นหุ่นใหญ่เล็ก หรือหุ่นยนต์ ทำนายว่า จะถูกหลอกลวง หรือต้องเสียทรัพย์ หรือมีฐานะจะต้องถูกโจรกรรม
395,พายเรือ,หญิงชายใดฝันว่าพายเรือไปจากฝั่งหนึ่ง หรือพายเรือผ่านสายลม หมายว่า จะได้รับโชคดีจากการทำกิจกรรม หรือการค้าขาย
396,พนมมือ,หญิงชายใดฝันว่า ได้พนมมือขึ้นสวดมนตร์ หรือพนมมือไหว้พระซึ่งมีค่าเคียงคู่ หมายว่า จะหมดเดือดร้อน ที่เศร้าโศกระห่ำใจกังวล
397,พริก,หญิงชายใดฝันว่า ได้กินข้าวพริก หรือได้เขียดพริกแดง จากคืน หมายว่า จะได้รับความสุขดี หรือมีเรื่องพิเศษมาครุกรุ่นกับคนในบ้าน
398,เพชรพลอย,หญิงชายใดฝันว่า ได้เพชรพลอยใส่เก็บไว้ หรือได้เก็บแสงประกายของเพชรส่องแสงใส หมายว่า หญิงมีครรภ์จะได้บุตรเป็นผู้รักและมีวาสนาดี ชายโสดจะได้พบภรรยา คนมีเรือนจะได้บุตรหรือโชคจากทางการค้า
399,เพลิง,หญิงชายใดฝันเห็นเพลิงหรือไฟไหม้ หายว่า จะได้ ความเดือดร้อนอย่างหนัก (ดูรายละเอียด 'ไฟ' อีกชื่อ ฟ.)
400,พวงกุหลาบ,ฝันว่าได้ดอกไม้พวงหนึ่งหรือได้หิมสีแดง เป็นมงคล หมายว่า ผู้มีฝันจะเป็นที่รักใคร่จากคนในตระกูลและใจคิดจะสมปรารถนา และจะหาโชคเล็กๆ น้อยๆ จากการเสี่ยง
401,พระพรหม,ฝันเห็นรูปปั้นพระพรหม หรือได้กราบไหว้บูชา จะเป็นเคราะห์ดี ผู้นั้นจะได้รับความสุขพร้อมด้วยศักดิ์ศรี
402,พวงมาลัย,ฝันว่ามีพวงมาลัยดอกไม้ตูดสวยงาม มงกุฎดอกไม้ใต้ท้องฟ้า ถ้าฝันในฤดูใบไม้ผลิ ดอกไม้กำลังบาน หมายว่า ชีวิตจะรุ่งเรืองสดใส ได้ขยายความสุข และเสริมยศ ถ้าฝันเป็นพวงมาลัยดอกไม้แห้งแกะกบไม่สู่สวย
